ID,CHROM,POS,scaffold,RADloc,NNA,MAF
34:94:+,LR633943.1,67573,LR633943.1,34,0.0309653916211293,0.0150375939849624
48:61:-,LR633943.1,89268,LR633943.1,48,0.00546448087431694,0.0119047619047619
51:6:+,LR633943.1,94852,LR633943.1,51,0.00728597449908925,0.0174311926605505
84:24:+,LR633943.1,151900,LR633943.1,84,0.0255009107468124,0.0598130841121495
237:178:-,LR633943.1,367273,LR633943.1,237,0.00728597449908925,0.0146788990825688
365:147:+,LR633943.1,720604,LR633943.1,365,0.034608378870674,0.49811320754717
383:174:-,LR633943.1,735785,LR633943.1,383,0.00364298724954463,0.0164533820840951
441:20:+,LR633943.1,798633,LR633943.1,441,0.0236794171220401,0.244402985074627
458:24:+,LR633943.1,809216,LR633943.1,458,0.0200364298724954,0.0157992565055762
459:33:-,LR633943.1,809162,LR633943.1,459,0.0200364298724954,0.0390334572490706
497:154:-,LR633943.1,840904,LR633943.1,497,0.00182149362477231,0.0173357664233577
517:142:-,LR633943.1,854051,LR633943.1,517,0.00910746812386157,0.0110294117647059
520:52:+,LR633943.1,856076,LR633943.1,520,0.0273224043715847,0.0149812734082397
536:33:+,LR633943.1,869885,LR633943.1,536,0.00728597449908925,0.0174311926605505
539:119:-,LR633943.1,870849,LR633943.1,539,0.00546448087431694,0.0137362637362637
568:186:+,LR633943.1,887601,LR633943.1,568,0.0619307832422587,0.0155339805825243
600:168:+,LR633943.1,925691,LR633943.1,600,0.00910746812386157,0.0165441176470588
653:76:-,LR633943.1,963695,LR633943.1,653,0.0364298724954463,0.0207939508506616
655:186:+,LR633943.1,964432,LR633943.1,655,0.00364298724954463,0.0155393053016453
825:174:+,LR633943.1,1407864,LR633943.1,825,0.0455373406193078,0.0830152671755725
826:167:-,LR633943.1,1407526,LR633943.1,826,0.0546448087431694,0.279383429672447
842:343:-,LR633943.1,1413777,LR633943.1,842,0.029143897996357,0.0140712945590994
847:165:-,LR633943.1,1414197,LR633943.1,847,0.00182149362477231,0.0164233576642336
858:208:-,LR633943.1,1417078,LR633943.1,858,0.00910746812386157,0.144301470588235
861:32:+,LR633943.1,1422381,LR633943.1,861,0.00364298724954463,0.0173674588665448
869:118:-,LR633943.1,1423787,LR633943.1,869,0.0437158469945355,0.0695238095238095
888:137:-,LR633943.1,1433124,LR633943.1,888,0.00182149362477231,0.0182481751824818
910:151:-,LR633943.1,1444266,LR633943.1,910,0.00546448087431694,0.010989010989011
913:34:+,LR633943.1,1448912,LR633943.1,913,0.0255009107468124,0.0121495327102804
925:91:+,LR633943.1,1459053,LR633943.1,925,0.0163934426229508,0.0111111111111111
933:55:-,LR633943.1,1467297,LR633943.1,933,0.0127504553734062,0.0119926199261993
944:156:-,LR633943.1,1484845,LR633943.1,944,0.00364298724954463,0.0146252285191956
963:140:-,LR633943.1,1502961,LR633943.1,963,0.0163934426229508,0.0583333333333333
986:77:+,LR633943.1,1516101,LR633943.1,986,0.0109289617486339,0.0497237569060773
1029:19:+,LR633943.1,1549554,LR633943.1,1029,0.00546448087431694,0.021978021978022
1041:188:-,LR633943.1,1568308,LR633943.1,1041,0.0109289617486339,0.0165745856353591
1055:10:+,LR633943.1,1578010,LR633943.1,1055,0.0236794171220401,0.0149253731343284
1096:137:-,LR633943.1,1600793,LR633943.1,1096,0.0182149362477231,0.0166975881261596
1173:15:+,LR633943.1,1660964,LR633943.1,1173,0.0200364298724954,0.160780669144981
1175:24:+,LR633943.1,1661835,LR633943.1,1175,0.00910746812386157,0.0137867647058824
1184:30:+,LR633943.1,1665246,LR633943.1,1184,0.0564663023679417,0.235521235521236
1197:181:-,LR633943.1,1670719,LR633943.1,1197,0.0856102003642987,0.485059760956175
1199:29:+,LR633943.1,1673653,LR633943.1,1199,0.00364298724954463,0.0137111517367459
1211:156:-,LR633943.1,1679661,LR633943.1,1211,0,0.017304189435337
1237:117:-,LR633943.1,1707824,LR633943.1,1237,0.0528233151183971,0.0326923076923077
1286:32:+,LR633943.1,1746809,LR633943.1,1286,0.0200364298724954,0.0120817843866171
1304:77:-,LR633943.1,1760323,LR633943.1,1304,0.0255009107468124,0.349532710280374
1316:114:+,LR633943.1,1764926,LR633943.1,1316,0,0.0154826958105647
1321:189:-,LR633943.1,1766265,LR633943.1,1321,0.00910746812386157,0.0165441176470588
1326:193:-,LR633943.1,1767087,LR633943.1,1326,0.0218579234972678,0.0865921787709497
1334:98:-,LR633943.1,1772217,LR633943.1,1334,0.058287795992714,0.204061895551257
1340:15:+,LR633943.1,1774585,LR633943.1,1340,0.0491803278688525,0.0191570881226054
1356:21:+,LR633943.1,1788901,LR633943.1,1356,0.0273224043715847,0.0112359550561798
1363:160:+,LR633943.1,1790491,LR633943.1,1363,0.00182149362477231,0.0237226277372263
1463:12:+,LR633943.1,2007125,LR633943.1,1463,0.00364298724954463,0.030164533820841
1468:52:+,LR633943.1,2009016,LR633943.1,1468,0.0200364298724954,0.352230483271375
1471:178:-,LR633943.1,2009989,LR633943.1,1471,0.0327868852459016,0.0819209039548023
1503:47:+,LR633943.1,2040236,LR633943.1,1503,0.00182149362477231,0.0164233576642336
1505:72:+,LR633943.1,2041698,LR633943.1,1505,0.0145719489981785,0.0138632162661738
1515:68:-,LR633943.1,2047743,LR633943.1,1515,0,0.0163934426229508
1523:38:+,LR633943.1,2052037,LR633943.1,1523,0.0510018214936248,0.0143953934740883
1526:127:-,LR633943.1,2052904,LR633943.1,1526,0.0418943533697632,0.0228136882129278
1541:46:+,LR633943.1,2069108,LR633943.1,1541,0.0673952641165756,0.2353515625
1563:241:-,LR633943.1,2080240,LR633943.1,1563,0.0182149362477231,0.0157699443413729
1573:133:-,LR633943.1,2084949,LR633943.1,1573,0.0127504553734062,0.0156826568265683
1590:237:-,LR633943.1,2092196,LR633943.1,1590,0.0236794171220401,0.0149253731343284
1607:23:-,LR633943.1,2105243,LR633943.1,1607,0.00546448087431694,0.0155677655677656
1611:203:+,LR633943.1,2109419,LR633943.1,1611,0.0710382513661202,0.0117647058823529
1640:13:+,LR633943.1,2124642,LR633943.1,1640,0.00546448087431694,0.0183150183150183
1717:250:-,LR633943.1,2173760,LR633943.1,1717,0.00910746812386157,0.0147058823529412
1747:41:+,LR633943.1,2190885,LR633943.1,1747,0.034608378870674,0.473584905660377
1756:7:+,LR633943.1,2194400,LR633943.1,1756,0.0400728597449909,0.0142314990512334
1762:46:-,LR633943.1,2200422,LR633943.1,1762,0.0200364298724954,0.474907063197026
1771:109:-,LR633943.1,2207809,LR633943.1,1771,0.00728597449908925,0.0917431192660551
1822:124:-,LR633943.1,2272898,LR633943.1,1822,0.00546448087431694,0.021978021978022
1883:255:+,LR633943.1,2361339,LR633943.1,1883,0.0619307832422587,0.0941747572815534
1994:13:+,LR633943.1,2472056,LR633943.1,1994,0,0.017304189435337
1995:176:-,LR633943.1,2471870,LR633943.1,1995,0.00728597449908925,0.0220183486238532
1997:95:-,LR633943.1,2472386,LR633943.1,1997,0.00364298724954463,0.0164533820840951
2008:205:-,LR633943.1,2474927,LR633943.1,2008,0.0109289617486339,0.0423572744014733
2025:43:+,LR633943.1,2493610,LR633943.1,2025,0.00728597449908925,0.0165137614678899
2035:175:-,LR633943.1,2499750,LR633943.1,2035,0.0109289617486339,0.0165745856353591
2050:147:-,LR633943.1,2508517,LR633943.1,2050,0.0746812386156648,0.464566929133858
2054:55:-,LR633943.1,2511841,LR633943.1,2054,0.0127504553734062,0.014760147601476
2072:13:+,LR633943.1,2529346,LR633943.1,2072,0.0856102003642987,0.142430278884462
2074:7:+,LR633943.1,2529346,LR633943.1,2074,0.0528233151183971,0.158653846153846
2109:10:+,LR633943.1,2562050,LR633943.1,2109,0.00910746812386157,0.360294117647059
2211:173:-,LR633943.1,2721363,LR633943.1,2211,0.0145719489981785,0.0129390018484288
2310:18:+,LR633943.1,2907628,LR633943.1,2310,0.0218579234972678,0.068901303538175
